epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.7317,3.79901,4.61719,3.90123,0.00037,0.02374,0.00029,9e-05,4.1873,4.91737,4.17223,0.000413165,0.000413165,0.000413165
2,79.9089,2.69135,2.9596,2.45948,0.24264,0.24856,0.22243,0.09646,2.27922,2.21925,2.09545,0.000824355,0.000824355,0.000824355
3,118.346,2.18825,2.17816,1.88866,0.39995,0.40071,0.35576,0.17823,1.88402,2.02658,1.69891,0.00123004,0.00123004,0.00123004
4,156.388,1.93654,1.81234,1.65887,0.4753,0.4626,0.45822,0.22786,1.78475,1.59767,1.57745,0.00122525,0.00122525,0.00122525
5,194.716,1.8002,1.61207,1.54336,0.57758,0.54208,0.55899,0.31585,1.56457,1.34967,1.43027,0.001217,0.001217,0.001217
6,233.998,1.68993,1.47093,1.46408,0.61463,0.55566,0.61382,0.35158,1.49663,1.27677,1.38172,0.00120875,0.00120875,0.00120875
7,272.58,1.61022,1.34578,1.40396,0.63062,0.60462,0.64982,0.38384,1.47053,1.14273,1.3366,0.0012005,0.0012005,0.0012005
8,311.627,1.54919,1.2617,1.35243,0.68472,0.63712,0.69964,0.4087,1.45031,1.07667,1.30985,0.00119225,0.00119225,0.00119225
9,349.391,1.49064,1.19405,1.31183,0.72751,0.67542,0.74826,0.44481,1.39498,1.06614,1.27814,0.001184,0.001184,0.001184
10,388.15,1.45064,1.1324,1.2899,0.71511,0.72862,0.77855,0.48329,1.36656,0.98589,1.25088,0.00117575,0.00117575,0.00117575
11,425.487,1.42531,1.0805,1.26685,0.75348,0.70259,0.78712,0.49232,1.32093,0.94802,1.22879,0.0011675,0.0011675,0.0011675
12,463.486,1.38223,1.04404,1.24563,0.78149,0.70386,0.7916,0.50656,1.27457,0.92058,1.2067,0.00115925,0.00115925,0.00115925
13,503.516,1.36083,0.99998,1.22719,0.76392,0.74244,0.80299,0.50815,1.28732,0.88389,1.19499,0.001151,0.001151,0.001151
14,540.258,1.32675,0.96938,1.21432,0.79715,0.75312,0.83839,0.53205,1.2759,0.84775,1.19377,0.00114275,0.00114275,0.00114275
15,578.826,1.33077,0.97257,1.21032,0.7929,0.75109,0.83767,0.55602,1.22146,0.84598,1.16636,0.0011345,0.0011345,0.0011345
16,615.31,1.29769,0.91146,1.20261,0.81759,0.80193,0.86902,0.58048,1.20334,0.76482,1.15696,0.00112625,0.00112625,0.00112625
17,653.312,1.28905,0.89833,1.1798,0.818,0.77545,0.85794,0.56544,1.23827,0.80486,1.16807,0.001118,0.001118,0.001118
18,690.539,1.28088,0.90327,1.18277,0.82459,0.79661,0.86501,0.57731,1.1794,0.80408,1.14686,0.00110975,0.00110975,0.00110975
19,727.708,1.26003,0.87323,1.16557,0.84032,0.7763,0.87348,0.58965,1.19008,0.75189,1.14368,0.0011015,0.0011015,0.0011015
20,767.89,1.23556,0.8467,1.1554,0.86169,0.80788,0.89254,0.60483,1.16876,0.74318,1.12396,0.00109325,0.00109325,0.00109325
21,804.307,1.22947,0.83235,1.15452,0.86307,0.82338,0.90075,0.60289,1.18673,0.72553,1.13996,0.001085,0.001085,0.001085
22,842.115,1.22665,0.82557,1.14199,0.82201,0.79938,0.88085,0.59426,1.17421,0.76036,1.12694,0.00107675,0.00107675,0.00107675
23,877.838,1.23088,0.82955,1.15379,0.87945,0.77643,0.8991,0.6086,1.15862,0.72424,1.11715,0.0010685,0.0010685,0.0010685
24,916.3,1.20576,0.8019,1.12826,0.82245,0.78046,0.8658,0.58629,1.15472,0.76399,1.11228,0.00106025,0.00106025,0.00106025
25,952.599,1.19157,0.79583,1.12605,0.87981,0.80839,0.90042,0.62186,1.12434,0.69386,1.09835,0.001052,0.001052,0.001052
26,991.234,1.19507,0.78416,1.13253,0.87518,0.81067,0.90401,0.63103,1.14571,0.68954,1.10673,0.00104375,0.00104375,0.00104375
27,1031.18,1.18665,0.77364,1.12835,0.87802,0.8318,0.92395,0.64177,1.10921,0.67472,1.09114,0.0010355,0.0010355,0.0010355
28,1067.74,1.17672,0.75951,1.11742,0.89062,0.82609,0.91286,0.63167,1.10866,0.66808,1.09887,0.00102725,0.00102725,0.00102725
29,1105.57,1.17541,0.75535,1.11439,0.85951,0.8323,0.91112,0.62872,1.12435,0.67618,1.09747,0.001019,0.001019,0.001019
30,1141.91,1.17611,0.7506,1.11732,0.87394,0.83602,0.92082,0.64555,1.09155,0.65431,1.0813,0.00101075,0.00101075,0.00101075
31,1180.72,1.15343,0.73987,1.1057,0.8911,0.82602,0.91126,0.62894,1.11169,0.66918,1.08737,0.0010025,0.0010025,0.0010025
32,1216.68,1.15314,0.73818,1.09941,0.87789,0.83891,0.92241,0.64753,1.09325,0.65615,1.08641,0.00099425,0.00099425,0.00099425
33,1254.41,1.13121,0.7117,1.09408,0.88205,0.8502,0.92361,0.64617,1.09185,0.63873,1.08076,0.000986,0.000986,0.000986
34,1294.03,1.14702,0.72664,1.10231,0.85839,0.83813,0.91591,0.64059,1.10455,0.65866,1.08355,0.00097775,0.00097775,0.00097775
35,1330.22,1.13231,0.71835,1.09886,0.89841,0.85185,0.92929,0.66122,1.07817,0.64009,1.07357,0.0009695,0.0009695,0.0009695
36,1368.82,1.13522,0.7186,1.09469,0.88034,0.86183,0.92776,0.64705,1.09252,0.63365,1.08377,0.00096125,0.00096125,0.00096125
37,1404.93,1.11793,0.70173,1.09281,0.87404,0.86316,0.93057,0.64975,1.09213,0.63121,1.07052,0.000953,0.000953,0.000953
38,1442.37,1.11852,0.69642,1.0761,0.91419,0.84651,0.93123,0.65903,1.08438,0.62483,1.07522,0.00094475,0.00094475,0.00094475
39,1478.31,1.11764,0.68945,1.08137,0.8886,0.84188,0.92351,0.64047,1.08699,0.63329,1.08044,0.0009365,0.0009365,0.0009365
40,1515.7,1.10624,0.682,1.07644,0.89438,0.84485,0.92888,0.65713,1.06657,0.61817,1.06008,0.00092825,0.00092825,0.00092825
41,1554.86,1.1029,0.6834,1.0804,0.86769,0.85128,0.92699,0.6606,1.06166,0.625,1.06335,0.00092,0.00092,0.00092
42,1590.8,1.09265,0.67517,1.07431,0.90398,0.85017,0.93242,0.65954,1.07398,0.61059,1.06193,0.00091175,0.00091175,0.00091175
43,1628.33,1.1057,0.67916,1.07261,0.90377,0.85236,0.93521,0.66744,1.05921,0.60778,1.06167,0.0009035,0.0009035,0.0009035
44,1665.26,1.0937,0.67161,1.07023,0.90504,0.85307,0.93834,0.67279,1.04825,0.60094,1.05229,0.00089525,0.00089525,0.00089525
45,1703.68,1.08543,0.66528,1.06968,0.89287,0.86645,0.93815,0.66988,1.04442,0.58853,1.054,0.000887,0.000887,0.000887
46,1740.39,1.07361,0.6533,1.05876,0.89966,0.86618,0.93699,0.66806,1.04448,0.58468,1.05257,0.00087875,0.00087875,0.00087875
47,1777.77,1.08529,0.65686,1.06566,0.90866,0.86133,0.94235,0.6735,1.04435,0.58164,1.05079,0.0008705,0.0008705,0.0008705
48,1816.52,1.07641,0.65844,1.06067,0.86504,0.8952,0.94162,0.67342,1.04722,0.58987,1.04746,0.00086225,0.00086225,0.00086225
49,1851.41,1.0642,0.6491,1.05867,0.88834,0.86324,0.93075,0.67091,1.04336,0.59135,1.04527,0.000854,0.000854,0.000854
50,1888.23,1.0658,0.64605,1.0612,0.87798,0.85145,0.93474,0.67333,1.04467,0.60189,1.0473,0.00084575,0.00084575,0.00084575
51,1923.51,1.05556,0.6323,1.04937,0.90664,0.87003,0.95094,0.68363,1.03403,0.57448,1.04298,0.0008375,0.0008375,0.0008375
52,1960.43,1.06483,0.63308,1.05103,0.89724,0.88778,0.94885,0.68644,1.02894,0.57572,1.04043,0.00082925,0.00082925,0.00082925
53,1996.11,1.04703,0.6285,1.04529,0.92285,0.87778,0.94846,0.6848,1.02135,0.56824,1.03719,0.000821,0.000821,0.000821
54,2031.74,1.06361,0.6381,1.04981,0.9103,0.84882,0.94053,0.68334,1.03038,0.58791,1.03519,0.00081275,0.00081275,0.00081275
55,2069.21,1.04242,0.62657,1.0503,0.88752,0.8762,0.93845,0.67727,1.02493,0.57091,1.03593,0.0008045,0.0008045,0.0008045
56,2104.03,1.0409,0.62757,1.03975,0.91756,0.87653,0.95175,0.6923,1.02187,0.55353,1.0433,0.00079625,0.00079625,0.00079625
57,2140.77,1.03302,0.61597,1.04425,0.90716,0.88024,0.94785,0.68768,1.02492,0.56252,1.03694,0.000788,0.000788,0.000788
